city,locality,bhk,total_sqft,price_inr,price_per_sqft,bhk_category
Bengaluru,Kumbalgodu,3,1083,6148000,5676.823638042474,3 BHK
Bengaluru,Begur,3,1805,11000000,6094.182825484764,3 BHK
Bengaluru,Begur,3,1880,11399999,6063.829255319149,3 BHK
Bengaluru,Begur,4,2180,13000000,5963.302752293578,4 BHK
Bengaluru,Begur,3,1850,11299999,6108.1075675675675,3 BHK
Bengaluru,Kannur on Thanisandra Main Road,2,1188,4900000,4124.579124579124,2 BHK
Bengaluru,Kannur on Thanisandra Main Road,2,1215,5002000,4116.872427983539,2 BHK
Bengaluru,Kannur on Thanisandra Main Road,2,1224,5036000,4114.3790849673205,2 BHK
Bengaluru,Doddanekundi,2,1350,6736000,4989.62962962963,2 BHK
Bengaluru,Doddanekundi,3,1650,8233000,4989.69696969697,3 BHK
Bengaluru,Doddanekundi,3,1355,6761000,4989.667896678967,3 BHK
Bengaluru,Doddanekundi,2,1325,6611000,4989.433962264151,2 BHK
Bengaluru,Doddanekundi,2,1260,6287000,4989.68253968254,2 BHK
Bengaluru,Doddanekundi,2,1290,6437000,4989.922480620155,2 BHK
Bengaluru,Doddanekundi,2,1225,6112000,4989.3877551020405,2 BHK
Bengaluru,Doddanekundi,2,1300,6487000,4990.0,2 BHK
Bengaluru,Dasarahalli on Tumkur Road,2,1247,9412000,7547.714514835606,2 BHK
Bengaluru,Dasarahalli on Tumkur Road,3,1486,10500000,7065.9488559892325,3 BHK
Bengaluru,Dasarahalli on Tumkur Road,3,1433,10200000,7117.934403349616,3 BHK
Bengaluru,Kengeri,2,1152,4722000,4098.958333333333,2 BHK
Bengaluru,Kengeri,2,1119,4586000,4098.302055406613,2 BHK
Bengaluru,Kengeri,2,1118,4582000,4098.389982110913,2 BHK
Bengaluru,Kengeri,3,1656,6787000,4098.429951690821,3 BHK
Bengaluru,Horamavu,3,1629,9319000,5720.687538367097,3 BHK
Bengaluru,Horamavu,2,1237,6892000,5571.544058205335,2 BHK
Bengaluru,Bommanahalli,2,1275,9277000,7276.078431372549,2 BHK
Bengaluru,Bommanahalli,3,1615,11600000,7182.66253869969,3 BHK
Bengaluru,Bommanahalli,3,1515,10900000,7194.7194719471945,3 BHK
Bengaluru,Bommanahalli,3,1455,10500000,7216.494845360825,3 BHK
Bengaluru,Bommanahalli,3,1360,9859000,7249.264705882353,3 BHK
Bengaluru,Ramamurthy Nagar,3,1409,6973999,4949.60894251242,3 BHK
Bengaluru,Ramamurthy Nagar,2,1139,5705000,5008.779631255487,2 BHK
Bengaluru,Ramamurthy Nagar,2,1154,5772000,5001.7331022530325,2 BHK
Bengaluru,Ramamurthy Nagar,3,1353,6720999,4967.4789356984475,3 BHK
Bengaluru,Ramamurthy Nagar,3,1362,6761000,4964.023494860499,3 BHK
Bengaluru,Ramamurthy Nagar,2,1133,5677000,5010.591350397176,2 BHK
Bengaluru,Ramamurthy Nagar,2,1068,5384000,5041.198501872659,2 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1540,9141000,5935.714285714285,3 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1610,9522000,5914.285714285715,3 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1715,10000000,5830.903790087464,3 BHK
Bengaluru,Whitefield Hope Farm Junction,2,1195,7211000,6034.309623430962,2 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1425,8514000,5974.736842105263,3 BHK
Bengaluru,Whitefield Hope Farm Junction,3,1760,10300000,5852.272727272727,3 BHK
Bengaluru,Whitefield Hope Farm Junction,2,1300,7783000,5986.923076923077,2 BHK
Bengaluru,Whitefield Hope Farm Junction,2,1235,7429000,6015.384615384615,2 BHK
Bengaluru,Whitefield Hope Farm Junction,2,1305,7809999,5984.673563218391,2 BHK
Bengaluru,Electronic City Phase 1,2,1120,6250000,5580.357142857143,2 BHK
Bengaluru,Electronic City Phase 1,1,715,3797999,5311.8867132867135,1 BHK
Bengaluru,Electronic City Phase 1,2,910,5034000,5531.868131868132,2 BHK
Bengaluru,Electronic City Phase 1,3,1430,7897000,5522.377622377622,3 BHK
Bengaluru,Electronic City Phase 1,2,965,5327000,5520.20725388601,2 BHK
Bengaluru,Electronic City Phase 1,3,1500,8269000,5512.666666666667,3 BHK
